PName,POS,GP,MPG,PTS,AST,REB,FG%,3P%,TOV,STL,BLK,+/-
Saddiq Bey,SF,77,27.645454545454545,13.792207792207792,1.5324675324675325,4.701298701298701,42.2,36.1,0.922077922077922,0.9090909090909091,0.16883116883116883,-147
Jalen Williams,F,75,30.34133333333333,14.08,3.3066666666666666,4.493333333333333,52.1,35.6,1.64,1.3733333333333333,0.4666666666666667,-53
Dillon Brooks,SF,73,30.33287671232877,14.342465753424657,2.589041095890411,3.3424657534246576,39.6,32.6,1.4246575342465753,0.8904109589041096,0.2191780821917808,205
Malik Monk,SG,77,22.327272727272728,13.519480519480519,3.8701298701298703,2.6363636363636362,44.8,35.9,1.896103896103896,0.6363636363636364,0.2597402597402597,68
Kenyon Martin Jr.,F,82,27.953658536585365,12.670731707317072,1.5,5.512195121951219,56.9,31.5,1.1097560975609757,0.5,0.36585365853658536,-368
De'Andre Hunter,SF,67,31.725373134328358,15.35820895522388,1.4029850746268657,4.2388059701492535,46.1,35.0,1.2238805970149254,0.5223880597014925,0.2537313432835821,-18
Malik Beasley,SG,81,25.84074074074074,12.654320987654321,1.5308641975308641,3.493827160493827,39.5,35.7,1.1111111111111112,0.8024691358024691,0.1111111111111111,-87
Norman Powell,G,60,26.118333333333332,16.983333333333334,1.8166666666666667,2.9166666666666665,47.9,39.7,1.6833333333333333,0.8333333333333334,0.3,-124
Tim Hardaway Jr.,SF,71,30.312676056338027,14.352112676056338,1.8169014084507042,3.535211267605634,40.1,38.5,0.8450704225352113,0.6901408450704225,0.16901408450704225,160
Derrick White,PG,82,28.284146341463416,12.402439024390244,3.9146341463414633,3.573170731707317,46.2,38.1,1.1585365853658536,0.6585365853658537,0.926829268292683,488
Luguentz Dort,G,74,30.70810810810811,13.68918918918919,2.081081081081081,4.648648648648648,38.8,33.0,1.2432432432432432,1.0135135135135136,0.3108108108108108,34
Jabari Smith Jr.,PF,79,31.018987341772153,12.784810126582279,1.2784810126582278,7.2025316455696204,40.8,30.7,1.3164556962025316,0.5443037974683544,0.9367088607594937,-555
Malcolm Brogdon,PG,67,26.02686567164179,14.925373134328359,3.701492537313433,4.17910447761194,48.4,44.4,1.462686567164179,0.6716417910447762,0.26865671641791045,182
Bobby Portis,F,70,25.97714285714286,14.1,1.5,9.6,49.6,37.0,1.1571428571428573,0.4142857142857143,0.22857142857142856,17
Keegan Murray,SF,80,29.77125,12.2,1.225,4.6375,45.3,41.1,0.75,0.7625,0.525,99
Kelly Oubre Jr.,SG,48,32.239583333333336,20.25,1.125,5.1875,43.1,31.9,1.3333333333333333,1.4166666666666667,0.375,-278
Jarrett Allen,C,68,32.648529411764706,14.25,1.661764705882353,9.794117647058824,64.4,10.0,1.3676470588235294,0.7941176470588235,1.2352941176470589,345
Nic Claxton,C,76,29.877631578947366,12.644736842105264,1.894736842105263,9.236842105263158,70.5,0.0,1.263157894736842,0.8552631578947368,2.486842105263158,119
Jaden McDaniels,PF,79,30.588607594936708,12.063291139240507,1.8734177215189873,3.8860759493670884,51.7,39.8,1.4177215189873418,0.9367088607594937,0.9620253164556962,70
Rudy Gobert,C,70,30.692857142857143,13.414285714285715,1.2428571428571429,11.628571428571428,65.9,0.0,1.7428571428571429,0.8,1.3571428571428572,-7
John Collins,PF,71,29.994366197183098,13.112676056338028,1.1971830985915493,6.507042253521127,50.8,29.2,1.1126760563380282,0.5915492957746479,1.028169014084507,-21
Bruce Brown,SF,80,28.49375,11.5375,3.35,4.1,48.3,35.8,1.5375,1.0875,0.6375,31
Max Strus,SG,80,28.4,11.5375,2.1375,3.225,41.0,35.0,0.8625,0.525,0.15,-145
Caris LeVert,SG,74,30.233783783783785,12.121621621621621,3.8783783783783785,3.810810810810811,43.1,39.2,1.5675675675675675,0.972972972972973,0.32432432432432434,194
Jakob Poeltl,C,72,26.47361111111111,12.458333333333334,2.736111111111111,9.069444444444445,62.9,0.0,1.7361111111111112,0.9166666666666666,1.1944444444444444,-146
Tre Jones,PG,68,29.17205882352941,12.867647058823529,6.588235294117647,3.6029411764705883,45.9,28.5,1.6176470588235294,1.3088235294117647,0.1323529411764706,-325
Wendell Carter Jr.,C,57,29.640350877192983,15.228070175438596,2.3157894736842106,8.719298245614034,52.5,35.6,1.8596491228070176,0.5263157894736842,0.5789473684210527,-41
